CountyId,population,unemp,health_ins,poverty,SNAP,no_comp,no_internet,home_broad,broad_num,broad_avail,broad_cost,population_bbn,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Diversity.Index,Mean
1005,24686,3.8,11.2,28.9,27.4,23.9,38.9,60.4,4,99.2,74.99,24729,35,6.778438271,12.95939989,7.70435521,47.47149743,79.68369121,0.134174451,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,20269,33368,2551,17561,798,27.2,44.9,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4,0.556605,411
1015,113605,3.5,9.4,18.6,17.9,15.3,26.6,73,2,86.5,74.99,114816,35,5.110341764,10.40935061,7.027278428,66.40877099,96.20633884,0.205311106,115527,55593,59934,3.6,72.7,20.4,0.2,1,0,88383,43686,1491,23638,793,18.6,26.6,29,17.5,23.7,10.4,19.4,85,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1,0.420387,600
1017,33254,2.9,10.8,16.6,14.7,24.2,33,66.5,1,93,299.95,34422,35,4.931264889,10.12367091,5.270350357,65.96271512,88.67177968,0.045058393,33895,16320,17575,2.2,56.2,39.3,0.3,1,0,26259,37342,2011,22002,1205,18.8,29.1,24.3,13.5,23,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2,23.6,14527,84.5,11.8,3.7,0,6.4,0.517068,854
1019,26196,2.9,8.3,15,15.9,19.9,31,68.6,2,25.6,187.47,25175,65,3.227090367,11.22709037,7.70959285,23.49120437,99.48250248,0.148480636,25855,12862,12993,1.6,91.8,5,0.5,0.1,0,20620,40041,2316,23010,1354,16.1,20,28.8,14.8,18.1,11.9,26.5,85,12.1,0.4,0.3,0.3,2,26.5,9879,74.8,17.1,8.1,0,5.3,0.154772,864
1021,44428,2.7,14.2,18.6,18.2,22,37.7,61.8,2,99.5,74.99,32192,35,4.940730616,11.30072689,6.940730616,36.72984189,82.46474279,0.260592694,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0,31776,43501,2877,23368,1925,19.4,27.8,25.3,14.5,23.7,15.5,21,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675,81.1,14,4.5,0.4,6.7,0.332047,0
1023,12589,4.7,11.4,22.2,24.7,25.9,40.9,58.3,2,49.4,115,12454,66.95,1.851292757,6.851292757,2.778304159,13.2511402,25.82174402,0.670949093,13188,6277,6911,0.5,56.3,42.1,0,0.1,0,10454,32122,2797,20994,1307,22.3,32.8,23.6,15.4,22,17.1,21.9,81.8,13.7,0,1.7,1.2,1.6,32.7,4301,79.9,14.8,4.9,0.4,9.8,0.50622,857
1025,23622,5.8,10.8,25.4,19.5,34.7,46.2,53.2,2,99,74.96,25939,55,5.472917229,10.23902232,5.861636917,20.72705154,74.10921778,0.616754694,24625,11649,12976,0.2,53,45.7,0.1,0.5,0.1,19087,33827,2336,20765,1203,25.3,30.7,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933,83.1,11.8,5.1,0,15.2,0.521338,585
1027,13235,3,10.2,18.4,15.7,21.1,31.5,68.2,1,86.6,115,13288,69.99,1.924443107,6.921809151,3.801475015,73.60014073,40.74360325,0.19589103,13407,6471,6936,3.1,80.2,14.7,0.9,0,0,10332,37287,6507,21330,1553,19.1,23.5,22.2,14.6,18.4,12.9,31.9,87.5,6,0,2.8,0.6,3,30.3,5509,77.8,14.5,7.7,0,6.4,0.337811,433
1033,55241,3.7,8.1,16.3,11.9,18.6,31.1,68.2,3,92.6,74.99,52812,35,5.386540938,11.13877528,7.386540938,48.46680963,93.40024994,0.164318715,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0,42195,45477,1959,23675,816,16.8,24.1,27.1,15.4,26,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2,23.1,22180,78.1,16.1,5.5,0.3,6.9,0.351218,467
1041,13772,2.8,10,15.7,18.7,29.1,40.1,59.6,1,81.4,187.47,12580,69.95,6.500794913,10.85771065,5.435135135,51.23369157,71.31224165,0.224006359,13866,6786,7080,1.8,71.2,23.1,0.8,1.4,0,10551,38937,3177,21580,1212,17.6,22.5,26.4,13.1,24.1,13.2,23.3,81.2,12.2,0.1,1.7,0.8,4,28.6,5700,73,19.1,7.8,0.2,6.4,0.445408,450
